Ticker,Book Value,EVToEBITDA,PToBV,MarketCap,PToSales,Close
3IINFOTECH.NS,46.694,-78.63,1.8096544,1383,2.1588688,8.45
3MINDIA.NS,1695.799,81.558,14.881422,28428,9.468199,25156.85
3RDROCK.NS,10.467,82.662,6.1717777,145,3.719899,64.6
A2ZINFRA.NS,19.175,-7.058,0.22425035,76,0.18361244,4.3
AARTIDRUGS.NS,98.006,15.844,6.4006286,5848,2.6705413,616.65
AARTIIND.NS,100.523,31.52,9.212319,33569,6.871247,953.75
AARVEEDEN.NS,71.455,3250.807,0.2610034,44,0.12339893,19.3
ABAN.NS,-2882.563,-36.389,22222,250,0.25956732,44.95
ABB.NS,175.552,80.271,10.499453,39111,6.142765,1908.05
ABBOTINDIA.NS,1224.586,45.12,16.724508,43544,9.755538,21004.1
ABFRL.NS,21.177,39.938,10.015583,19885,3.4657226,217.7
ACC.NS,723.193,13.23,3.311495,44972,2.8357615,2429.7
ACCELYA.NS,159.836,21.772,7.9956956,1907,6.569579,1293.1
ACE.NS,46.089,20.27,5.809412,3038,2.0988677,274.4
ADANIENT.NS,156.014,55.339,9.48793,162799,3.474854,1503.2
ADANIPORTS.NS,149.928,20.798,5.116456,156622,10.572809,769.65
ADANIPOWER.NS,33.997,9.806,2.9546723,38742,1.4044169,98.55
ADANITRANS.NS,81.098,56.119,22.446299,200203,19.41942,1916.15
ADFFOODS.NS,136.657,26.537,6.8265805,1867,4.8943725,944.15
ADORWELD.NS,174.681,27.137,3.778316,898,1.7262808,676.05
ADSL.NS,92.917,6.89,0.76250845,359,0.9614314,71.6
ADVANIHOTR.NS,9.264,-178.928,7.9717183,341,11.65231,76.15
AEGISCHEM.NS,55.345,20.748,4.3671513,8483,2.1836314,238.9
AGARIND.NS,191.137,5.728,1.5870816,379,0.32599193,308.2
AGCNET.NS,63.544,8.862,18.81767,3938,0.8079108,1258.65
AHLEAST.NS,628.372,-90.946,0.29146746,211,2.9976325,188.5
AHLUCONT.NS,131.143,11.27,2.9220011,2576,1.1142654,387.7
AHLWEST.NS,33.191,39.059,8.234159,321,1.7886224,276.8
AIAENG.NS,449.989,25.762,4.6617804,19786,6.5062475,2097.1
AIFL.NS,-113.144,-1759.679,22222,3,361.83026,1.55
AJANTPHARM.NS,346.188,18.761,6.3120327,18916,6.3703785,2202.15
AJMERA.NS,199.601,17.533,1.7013943,1215,2.751508,357.45
AKSHOPTFBR.NS,6.321,6.257,1.3842746,142,0.47872823,9
AKZOINDIA.NS,282.892,22.948,7.8162336,10069,3.610123,2198.15
ALANKIT.NS,6.703,13.908,2.3571534,225,1.8911719,16.25
ALCHEM.NS,-282.733,-2.564,22222,4,0.03285998,3.15
ALEMBICLTD.NS,89.454,205.847,1.2995505,2985,36.877464,114.85
ALICON.NS,232.386,12.093,3.5413063,1325,1.3175708,801.9
ALKALI.NS,48.485,15.352,1.4788078,73,1.300805,71.4
ALKEM.NS,616.964,23.112,6.1996326,45733,4.761688,3873.95
ALKYLAMINE.NS,155.287,43.34,25.459955,20187,14.533048,4048.6
ALLCARGO.NS,93.11,9.804,2.5722263,5884,0.49574712,245.75
ALLSEC.NS,174.117,6.736,2.5979657,689,2.4249086,456.65
ALMONDZ.NS,64.426,22222,1.2766584,212,3.4584816,78.55
ALPA.NS,50.641,6.449,1.0465828,111,0.98879385,55.6
ALPHAGEO.NS,413.21,2.568,0.96924084,255,1.1427193,420.6
ALPSINDUS.NS,-162.125,109.824,22222,8,0.029427955,2.3
AMARAJABAT.NS,246.468,10.347,2.9555562,12457,1.5799081,737.35
AMBIKCO.NS,987.249,5.492,1.6244634,918,1.2721297,1610
AMBUJACEM.NS,122.978,12.835,3.4136188,83397,2.9452903,430.2
AMDIND.NS,68.674,5.872,0.40117073,52,0.35487676,28.2
AMRUTANJAN.NS,73.76,24.517,10.126762,2183,5.9911036,737.7
ANANTRAJ.NS,86.088,63.677,0.76084936,1935,6.634336,67.2
ANDHRACEMT.NS,-23.177,-57.156,22222,645,32287.242,22.4
ANDHRSUGAR.NS,478.566,7.034,1.1861478,1542,0.9867272,566.1
ANIKINDS.NS,132.78,12.865,0.13932821,52,0.30631143,19.15
ANKITMETAL.NS,-51.737,-2.158,22222,28,0.06888137,1.9
ANSALAPI.NS,-10.821,-37.69,22222,141,0.16779922,8.95
ANSALHSG.NS,31.748,130.956,0.2047373,38,0.21400645,6.5
ANTGRAPHIC.NS,1.088,-652.377,0.91911757,15,13.260052,0.95
APARINDS.NS,368.239,5.184,1.8307403,2579,0.37341636,670.55
APCOTEXIND.NS,58.907,20.251,6.845536,2090,3.1395166,420.25
APLAPOLLO.NS,67.843,28.246,13.943221,23635,2.3815794,956.15
APLLTD.NS,260.863,12.046,2.9833667,15297,2.8445518,783
APOLLOHOSP.NS,320.097,49.555,15.333634,70573,5.8091164,4880.75
APOLLOTYRE.NS,180.178,7.008,1.240995,14207,0.76148117,221.95
APOLSINHOT.NS,338.149,24.508,2.3253064,204,1.1246462,813.55
APTECHT.NS,40.901,45.663,7.0413923,1176,12.442839,293.05
ARCHIDPLY.NS,42.103,7.672,0.7386647,61,0.24302024,32
ARCHIES.NS,31.988,4.624,0.5548956,59,0.9629682,18
ARCOTECH.NS,7.943,-86.793,0.27697346,24,0.28882235,2.2
ARIES.NS,161.725,6.046,0.92131704,193,0.49057573,150.8
ARIHANT.NS,113.28,-262.644,0.23172669,22,0.3020969,27.1
AROGRANITE.NS,122.641,9.18,0.5454946,102,0.497595,68.85
ARSHIYA.NS,-9.134,18.732,22222,760,3.7508245,30.2
ARSSINFRA.NS,-9.853,-26.71,22222,65,0.22016488,29.35
ARVIND.NS,105.022,7.663,0.8969549,2440,0.41266114,94.4
ARVINDFASN.NS,45.994,-34.409,5.4768014,2868,1.1714914,250.7
ASAHIINDIA.NS,59.204,17.716,6.2208633,8953,3.1861563,366.6
ASAHISONG.NS,189.158,12.934,1.8730372,426,1.5036756,351.8
ASAL.NS,-55.924,24.374,22222,97,0.233713,61.1
ASHAPURMIN.NS,49.931,7.634,2.5284894,1155,0.87938726,127.05
ASHIANA.NS,70.695,-131.364,2.6762855,1936,8.307236,189.15
ASHIMASYN.NS,10.915,-19.374,1.5895557,334,2.0922568,17.8
ASHOKA.NS,22.041,5.129,4.5052404,2787,0.50559014,100.9
ASHOKLEY.NS,26.76,22.892,4.6767564,36738,1.8884532,127.25
ASIANHOTNR.NS,218.077,-67.111,0.38908276,169,2.1795962,84.65
ASIANPAINT.NS,133.51,62.268,24.740095,317187,13.125224,3342.1
ASIANTILES.NS,183.817,4.862,0.83153355,524,0.40565774,154.3
ASTEC.NS,157.844,25.357,8.521071,2634,4.5787497,1386.05
ASTRAL.NS,94.356,58.499,22.476048,42607,13.414213,2127.5
ASTRAMICRO.NS,64.507,14.08,2.6950562,1505,2.3281903,181.3
ASTRAZEN.NS,182.468,62.729,17.207949,7849,9.648598,3147.95
ATFL.NS,181.046,41.757,5.6201186,2479,2.769115,1043.2
ATLANTA.NS,-70.975,19.939,22222,113,1.2799846,13.95
ATLASCYCLE.NS,84.152,-0.631,0.34283203,18,0.12098053,28.85
ATNINTER.NS,-1.611,-29.416,22222,0,10.063775,0.2
ATUL.NS,1293.309,27.963,7.4564934,28532,6.873455,9737.35
ATULAUTO.NS,136.811,-66.273,1.4688146,441,1.4925472,204.4
AURIONPRO.NS,147.58,4.272,1.3236889,445,1.1923151,194.75
AUROPHARMA.NS,374.269,8.129,1.9937531,43722,1.7808361,754.75
AUSOMENT.NS,81.536,6.9,0.86894125,96,0.32135263,71.15
AUTOAXLES.NS,366.633,19.265,3.338352,1855,1.6543028,1229.8
AUTOIND.NS,9.489,27.437,6.18611,224,0.63812643,58.8
AUTOLITIND.NS,21.878,-2.312,0.69247645,17,0.37419376,15.5
AVANTIFEED.NS,129.268,15.594,4.2879906,7556,1.842714,561.05
AVTNPL.NS,20.375,18.219,4.0515337,1257,2.5912848,84.2
AXISBANK.NS,346.025,22222,2.3332129,247704,8.410894,802.6
AXISCADES.NS,78.968,2.61,0.9111285,271,0.47805205,74.6
AYMSYNTEX.NS,69.704,4.906,1.4217261,496,0.42749545,102.55
BAGFILMS.NS,6.273,13.86,0.5101228,66,0.6276395,3.05
BAJAJ-AUTO.NS,942.355,14.685,4.056009,110649,3.327238,3813.5
BAJAJELEC.NS,137.01,45.772,10.880959,17090,3.536034,1442.7
BAJAJFINSV.NS,2250.674,13.507,7.482291,268050,4.4819183,16733
BAJAJHIND.NS,21.51,36.255,0.73221755,1785,0.26783156,15.55
BAJAJHLDNG.NS,3339.544,171.514,1.3172009,48970,105.72702,4319.25
BAJFINANCE.NS,613.705,22222,12.104838,448397,25.474794,7411.5
BALAJITELE.NS,56.769,-22.13,1.0939069,628,1.9417465,63.5
BALAMINES.NS,276.038,33.865,17.319899,15490,10.0519495,4918.3
BALKRISIND.NS,310.361,27.001,8.023238,48137,7.245914,2510.65
BALLARPUR.NS,-7.379,9.668,22222,199,0.057864953,1.4
BALMLAWRIE.NS,84.5,20.533,1.6491125,2382,1.3708974,141.85
BALPHARMA.NS,37.733,9.229,2.7668087,154,0.61767745,102.4
BALRAMCHIN.NS,124.721,13.878,2.8700058,7400,1.636619,358.9
BANARBEADS.NS,75.411,12.686,0.8619432,43,2.1679466,66
BANARISUG.NS,1081.661,16.763,2.0285468,2751,1.7106336,1939.2
BANCOINDIA.NS,115.773,6.007,1.7568862,1456,0.8278149,211
BANG.NS,65.175,20.725,0.5285769,46,0.7286972,35.2
BANKBARODA.NS,159.319,22222,0.51657367,42560,1.7321092,85.9
BANKINDIA.NS,150.271,22222,0.38763303,21541,1.6160606,60.05
BANSWRAS.NS,208.579,5.034,0.79466295,284,0.36137462,169.35
BARTRONICS.NS,59.278,246.819,0.050608996,10,0.15991545,3
BASF.NS,412.649,17.84,8.300881,14827,1.3749018,3468.95
BASML.NS,102.587,6.136,0.6024155,194,0.17111363,62.4
BATAINDIA.NS,136.787,665.941,13.046196,22961,13.439903,1804.8
BAYERCROP.NS,563.308,29.865,9.507854,24063,6.0288973,5487
BBL.NS,1720.285,13.139,0.8077441,785,0.8296402,1399.85
BBTC.NS,769.664,3.665,1.5080606,8109,0.5908406,1184.7
BEARDSELL.NS,13.102,7.482,1.0265608,37,0.28577057,13.75
BEDMUTHA.NS,-78.547,16.671,22222,120,0.336479,36.85
BEL.NS,44.398,11.36,4.6240826,50023,3.5523374,205.55
BEML.NS,531.992,37.806,2.6633859,5904,1.6324792,1457.15
BEPL.NS,41.068,5.22,4.441414,3031,2.1279569,181.25
BERGEPAINT.NS,34.806,62.125,23.523243,79529,10.348261,833.7
BFINVEST.NS,875.484,102.131,0.42290893,1394,82.479324,376.85
BFUTILITIE.NS,-58.761,22222,22222,1683,4.238393,445.6
BGLOBAL.NS,55.307,37.248,0.041586056,3,2.3489413,2.2
BGRENERGY.NS,107.155,-8.59,0.5646027,437,0.42106894,63.25
BHAGERIA.NS,103.583,8.884,2.4873772,1124,2.4291713,260.1
BHARATFORG.NS,116.307,31.797,6.547757,35456,5.5958757,778.45
BHARATGEAR.NS,79.406,4.021,1.7442007,128,0.25622624,144.45
BHARATRAS.NS,1518.355,22.456,8.225284,5306,4.859166,12578.3
BHARATWIRE.NS,8.39,26.022,8.259833,433,1.6952901,70.75
BHARTIARTL.NS,109.817,9.485,6.6305766,399656,3.9705963,718.6
BHEL.NS,74.575,-6.773,0.758297,19691,1.080791,58.2
BIL.NS,272.044,19.361,0.7728529,259,0.48772565,210.15
BILENERGY.NS,0.234,-1.498,2.5641026,12,265.9321,0.6
BINANIIND.NS,-128.901,-6.289,22222,17,-0.07223037,5.55
BINDALAGRO.NS,94.265,4.781,0.2524797,611,5.6197777,25.8
BIOCON.NS,64.16,29.599,5.8821692,45310,6.317186,376.75
BIRLACORPN.NS,712.455,8.76,1.8297296,10038,1.3727572,1324.7
BIRLAMONEY.NS,8.444,22222,7.3839407,351,1.9440547,65.8
BLBLIMITED.NS,14.313,22222,0.67071897,50,0.07730815,9.4
BLISSGVS.NS,78.985,9.043,1.4312844,1168,1.8983123,112.1
BLKASHYAP.NS,19.195,15.412,1.2503257,546,0.716787,24.8
BLUEBLENDS.NS,-19.007,-16.826,22222,2,0.2458851,0.8
BLUECHIP.NS,-0.035,-7.741,22222,1,925.5014,0.3
BLUECOAST.NS,-85.015,-4.778,22222,9,115.63468,6.15
BLUEDART.NS,249.478,21.433,25.987663,15385,4.1141777,6478.75
BLUESTARCO.NS,91.943,59.202,9.2530155,8193,1.7472467,859.05
BODALCHEM.NS,75.663,22.725,1.4643881,1355,1.1051695,111.8
BOMDYEING.NS,-8.142,100.376,22222,1926,1.2992942,96.2
BOSCHLTD.NS,3326.83,24.066,4.531641,44496,4.0310097,15279.6
BPCL.NS,203.748,6.373,2.1411252,94667,0.3598009,439.05
BPL.NS,34.928,-11.871,2.2145555,379,7.980576,73.7
BRFL.NS,16.28,-7.842,0.4576167,236,1.3993586,7.45
BRIGADE.NS,108.806,22.547,3.4446628,7901,3.7108092,389.95
BRITANNIA.NS,147.332,42.203,27.501493,97607,7.440168,4073.05
BROOKS.NS,39.648,145.989,3.5689065,349,4.0420904,148.9
BSELINFRA.NS,49.425,-18.762,0.028325746,11,5.7669744,1.4
BSL.NS,76.071,5.674,0.8347465,65,0.18095988,64.2
BURNPUR.NS,-25.862,-42.102,22222,27,0.21926208,3.2
BUTTERFLY.NS,125.257,15.977,7.092218,1605,1.8462793,846.05
BVCL.NS,52.302,7.291,0.45887348,55,0.4029716,24
BYKE.NS,43.02,12.597,0.64156204,112,1.7099004,27.9
CADILAHC.NS,126.861,19.111,4.392209,57042,3.7771184,564.5
CALSOFT.NS,4.404,22222,5.642598,38,8.341127,23.7
CAMLINFINE.NS,52.319,12.702,3.4050727,2273,1.9147735,176.05
CANBK.NS,378.911,22222,0.42952037,26818,0.8337342,166.75
CANDC.NS,-1.064,11.316,22222,8,0.0074009895,3.2
CANFINHOME.NS,195.919,22222,3.1033232,8095,10.513169,623.75
CANTABIL.NS,75.967,14.743,6.4060707,794,3.1203573,517.3
CAPLIPOINT.NS,156.872,16.992,5.551979,6588,5.8735876,892.25
CARBORUNIV.NS,112.542,28.304,7.634039,16291,5.6299706,883.45
CAREERP.NS,255.641,8.225,0.61042637,283,4.634334,161.4
CARERATING.NS,199.874,17.545,3.553989,2092,8.423435,726.75
CASTEXTECH.NS,-31.531,-3679.535,22222,33,0.13637592,0.8
CASTROLIND.NS,14.298,11.197,9.543292,13496,3.5025547,141.65
CCCL.NS,-8.599,-35.003,22222,19,0.085654385,0.4
CCHHL.NS,24.065,29.375,0.2721795,107,1.727241,6.65
CCL.NS,81.763,16.798,4.860389,5288,4.245089,402.05
CEATLTD.NS,819.74,6.35,1.6127676,5347,0.6369478,1340.4
CEBBCO.NS,12.023,11.832,2.7946436,302,0.83224046,33.5
CELEBRITY.NS,0.56,22.355,17.67857,47,0.20316328,10.35
CELESTIAL.NS,45.564,1.441,0.038407516,4,0.12481513,1.75
CENTENKA.NS,459.87,4.605,0.9931068,998,0.8180475,462
CENTEXT.NS,5.949,5.228,1.596907,76,0.31626216,9.6
CENTRALBK.NS,45.027,22222,0.5152464,20139,3.6687152,23.2
CENTUM.NS,270.937,8.07,1.8273621,639,0.76166415,514.55
CENTURYPLY.NS,57.054,22.45,7.3307743,9292,3.8963797,418.35
CENTURYTEX.NS,313.742,34.801,2.7092323,9494,3.0965242,835.25
CERA.NS,611.386,38.221,7.324996,5833,5.3827486,4399.45
CEREBRAINT.NS,26.218,87.279,2.1473796,664,9.495943,58.1
CESC.NS,744.56,7.073,0.12383152,1222,0.105010435,88.2
CGCL.NS,97.865,22222,5.1330914,8842,21.211645,501.7
CHAMBLFERT.NS,105.734,6.409,2.9564757,13013,0.99513996,320
CHENNPETRO.NS,108.199,6.022,1.0928937,1751,0.06328999,115.85
CHOLAFIN.NS,117.095,22222,5.1825438,49769,9.212212,609.4
CHROMATIC.NS,49.903,-0.258,0.018034987,6,2.404337,0.9
CIGNITITEC.NS,132.886,10.123,4.286381,1596,1.7802243,563.35
CINELINE.NS,45.109,26.741,2.1924672,278,15.078184,101.8
CINEVISTA.NS,25.936,22222,0.532079,79,94.58517,14.4
CIPLA.NS,227.246,16.996,4.1983137,76953,3.7945287,954
CLNINDIA.NS,215.602,15.594,2.5855513,1286,1.7605326,573.9
COALINDIA.NS,59.233,3.322,2.6454847,96569,1.0850941,162.3
COFFEEDAY.NS,192.646,-10.192,0.15754285,641,0.37677908,28.95
COLPAL.NS,42.869,57.711,40.414986,47122,9.488032,1716.5
COMPUSOFT.NS,16.345,-16.79,0.84429497,109,6.3395844,14.45
CONCOR.NS,167.195,28.414,4.32818,44091,6.251622,733.05
CONSOFINVT.NS,374.023,26.073,0.37283802,450,16.807163,143
CORDSCABLE.NS,107.126,4.402,0.5106137,71,0.22369154,56.45
COROMANDEL.NS,175.487,11.23,4.6020503,23693,1.6157318,833.5
COSMOFILMS.NS,447.043,6.35,3.4568262,2809,1.1274928,1495.45
COUNCODOS.NS,2.265,20.993,1.3024282,22,1.8171515,2.95
CREATIVEYE.NS,13.393,2.904,0.23893079,6,1.0412291,3.05
CREST.NS,200.21,22222,0.6021178,345,8.045544,120.8
CRISIL.NS,180.707,42.747,16.11559,21184,10.337837,2819.2
CTE.NS,41.156,-19.029,1.4882399,120,1.2655202,63.1
CUB.NS,77.707,22222,1.9760125,11344,6.387422,157.7
CUBEXTUB.NS,40.968,32.941,0.5418864,31,0.5068568,22.5
CUMMINSIND.NS,167.776,25.742,6.0062227,27933,6.4066358,1032.05
CURATECH.NS,-0.036,-806.169,22222,1,2.8542495,1.6
CYBERMEDIA.NS,-9.491,15.013,22222,15,0.41020703,10.4
CYBERTECH.NS,41.783,11.26,3.8963215,449,3.8194466,166.8
CYIENT.NS,268.767,15.676,4.143738,12255,2.918738,1099.4
DAAWAT.NS,54.809,7.209,1.2361109,2166,0.4665781,67.95
DABUR.NS,43.407,52.802,15.065542,115581,11.355793,640.4
DALMIASUG.NS,264.841,8.084,1.5645236,3353,1.2486995,421.1
DATAMATICS.NS,121.405,9.812,2.5085456,1795,1.5480587,312.7
DBCORP.NS,94.818,4.379,1.0572886,1753,1.0951817,93.4
DBREALTY.NS,65.502,43.811,0.41830784,666,35.647686,28.8
DBSTOCKBRO.NS,12.049,22222,1.5270977,66,4.5294466,18.85
DCBBANK.NS,121.089,22222,0.7593588,2855,2.1976774,93.9
DCM.NS,-7.696,-42.058,22222,85,1.8027527,46.75
DCMSHRIRAM.NS,298.081,11.317,3.4782495,16163,1.9350231,978.1
DCW.NS,25.967,6.021,1.5423422,1046,0.615752,39.95
DECCANCE.NS,403.281,4.499,1.7968861,1015,1.203275,741.95
DEEPAKFERT.NS,263.126,6.702,1.634388,4415,0.69773525,415.2
DEEPAKNTR.NS,172.049,20.922,14.043964,32955,6.3237233,2448.6
DELTACORP.NS,72.605,238.988,3.149232,6100,13.666805,237.65
DELTAMAGNT.NS,31.619,17.258,1.7821562,61,0.50253266,56.15
DEN.NS,58.521,-0.04,0.8347431,2331,1.7808443,49.85
DENORA.NS,118.719,18.443,2.8815944,181,3.5891092,341.9
DHAMPURSUG.NS,234.918,6.81,1.2861935,2005,0.48258325,301.9
DHANBANK.NS,34.368,22222,0.496101,432,1.0226735,17.6
DHANUKA.NS,171.045,15.718,4.9057264,3910,2.818109,850.5
DHARSUGAR.NS,-30.937,-22.658,22222,65,1.9742283,19.1
DHFL.NS,-657.236,22222,22222,524,0.061280947,16.7
DHUNINV.NS,2372.237,4.295,0.2636119,381,1.4377918,626.5
DIAPOWER.NS,20.203,-4.95,0.06929664,37,0.054227892,1.35
DICIND.NS,413.336,10.828,1.1110816,424,0.64205635,469.5
DISHTV.NS,20.46,1.697,1.0166178,3835,1.2195193,19.85
DIVISLAB.NS,350.108,42.544,14.632056,135994,18.889063,5166.9
DLF.NS,142.569,49.145,2.347986,82861,13.79876,342.4
DLINKINDIA.NS,74.983,6.978,1.7810704,474,0.62071747,137.85
DOLPHINOFF.NS,347.224,1.502,0.010943944,7,0.041804947,3.8
DONEAR.NS,21.656,27.64,2.7290359,308,0.75176096,60.55
DPSCLTD.NS,16.61,30.46,0.92113185,1489,2.6783044,15.65
DQE.NS,20.35,-2.671,0.044226043,7,0.2765618,0.85
DREDGECORP.NS,548.047,-36.705,0.66490644,1019,1.3346552,374.3
DRREDDY.NS,1055.26,18.535,4.628764,80970,4.157866,4931.95
DWARKESH.NS,30.744,9.06,2.3256571,1346,0.75185287,72.5
DYNAMATECH.NS,581.652,9.542,5.317699,1961,1.7541041,3021.75
EASTSILK.NS,-2.903,20.692,22222,28,0.26311985,3.7
EASUNREYRL.NS,45.742,4858.447,0.062305976,8,0.10109533,2.8
ECLERX.NS,441.346,14.05,5.461928,8420,4.9123874,2327.25
EDELWEISS.NS,73.867,22222,1.1229643,7768,1.6153791,81.3
EDUCOMP.NS,17.731,-117.932,0.16637526,35,0.121261165,3
EICHERMOT.NS,418.488,38.321,6.926244,79230,9.147361,2860.2
EIDPARRY.NS,234.25,4.173,1.8518676,7689,0.40903515,444.4
EIHAHOTELS.NS,103.706,-54.941,3.227393,1019,10.057511,342.25
EIHOTEL.NS,49.549,-25.377,2.1685603,6719,13.518016,109.8
EIMCOELECO.NS,569.913,27.664,0.714495,234,1.9879547,407.6
EKC.NS,50.865,5.695,2.3169172,1331,1.1973592,121.4
ELECON.NS,81.969,7.895,2.1172638,1947,1.8639024,177.9
ELECTCAST.NS,66.056,8.953,0.58132493,1664,0.47968328,39.6
ELECTHERM.NS,-913.839,30.539,22222,161,0.06704965,128.8
ELGIEQUIP.NS,27.501,38.958,7.7069926,6716,3.4915261,212
ELGIRUBCO.NS,36.25,18.958,1.0896552,197,0.5761427,39.85
EMAMILTD.NS,39.581,27.867,14.663601,25799,8.430854,593.95
EMCO.NS,-42.161,-0.371,22222,12,0.053663906,1.8
EMKAY.NS,67.424,22222,1.7716242,294,1.8371563,120.3
EMMBI.NS,73.445,11.699,1.4915924,193,0.75702286,102
ENERGYDEV.NS,16.259,9.849,0.5627652,43,1.43551,9.45
ENGINERSIN.NS,31.604,4.192,2.328819,4136,1.2110453,73.6
ENIL.NS,168.29,56.696,1.1738666,942,3.4983397,204.15
EON.NS,44.566,-0.799,0.14360723,11,0.44658798,6.4
EROSMEDIA.NS,130.31,-1.169,0.14503875,181,0.575664,19.35
ESABINDIA.NS,168.401,31.489,13.478542,3493,4.7010345,2246.2
